Structure [idcode]	label	fragment	type	risk
dkmD@DpJRY{YWSZf`@@@	r3	mol	reproductive	high
dkmDBLdDf\bbTTJTWVj`@`@@	r3	mol	reproductive	high
dkmDpDgSBHjHVHRYYmYn`HJf@@	r3	mol	reproductive	high
dkmH`NVPbDfUunih@JZ`@@	r3	mol	reproductive	high
dknD@DATf^UuFVh@J`@@	r3	mol	reproductive	high
dknD@E@\bbRafRih@Jj`@@	r3	mol	reproductive	high
dknD@LALbbRbaRtvjh@@@@	r3	mol	reproductive	high
dknD`J``BDjy{Utvfjjh@@	r3	mol	reproductive	high
dknL@BACR[me]]Zj@B@@	r3	mol	reproductive	high
dknL@BAMR[meYSZj@H@@	r3	mol	reproductive	high
dknL@M@iRYg^un``Jj@@	r3	mol	reproductive	high
dknLBLANSlbfbTaRtvjzjh@@	r3	mol	reproductive	high
dknh@HF]LDee]V[iiYihDbz@	r3	mol	reproductive	high
dko@@@aLdRbbRQtvjB`@HB@	r3	mol	reproductive	high
dkoH@Dp`RYuYWSZj`@@@	r3	mol	reproductive	high
dk}@@@iJUmUR[atpBJ@@@@	r3	mol	reproductive	high
dmLB@@RURYUVJaejVjh@@	r3	mol	reproductive	high
dmLD@@QIe[VfeVi@B@@	r3	mol	reproductive	high
dmLH@@RYiYKnUjjjh@@	r3	mol	reproductive	high
dmLH@@RffeZVVjjjh@@	r3	mol	reproductive	high
dmLH@@rJJIQEneX@@@@@	r3	mol	reproductive	high
dmLL@@SdfVUrjUZ`PH@@	r3	mol	reproductive	high
dmM@@@[IEDhhZFU@B@@@@	r3	mol	reproductive	high
dmM@@@aJUe^neYhDB@@	r3	mol	reproductive	high
dmMD@DdNRYYWJiUjA@`@@	r3	mol	reproductive	high
dmMD@DhNRYYWIiUjA@`@@	r3	mol	reproductive	high
dmMh@DkaePRYYe[iUifjd@@	r3	mol	reproductive	high
dmN@@@RYVuiiVj`@`@@	r3	mol	reproductive	high
dmN@pN@H`HPHrRPqIZneUhDB@@	r3	mol	reproductive	high
dmND@BA\bbbReInFjZjd@@	r3	mol	reproductive	high
dmND@DBdfV]RZUZf@@@@	r3	mol	reproductive	high
dmND@DCdfVUrjUZ`PH@@	r3	mol	reproductive	high
dmND@DCdfVUrjUZfZj@@	r3	mol	reproductive	high
dmND@DCdfVUrjUZjZj@@	r3	mol	reproductive	high
dmNDPNYPBABLdTRbch^fjfih@@	r3	mol	reproductive	high
dmNH@NAIYe^neZdHB@@	r3	mol	reproductive	high
dmN`@@raeJY{VfFP`JX`@	r3	mol	reproductive	high
dmN``DkaT@aIefUneVjVjP@	r3	mol	reproductive	high
dmNh@HqaTDeee^FUhBBa@@	r3	mol	reproductive	high
dmOD@DiPyIee\feVhDB@@	r3	mol	reproductive	high
dmOD@DjPyIee\feVhDB@@	r3	mol	reproductive	high
dmOH@DK`RYYWkiUiB@`@@	r3	mol	reproductive	high
dmT@p@SHbDbLddJRRjjj`@	r3	mol	reproductive	high
dmTB@@ieReUWjjj`@	r3	mol	reproductive	high
dmTB`HSBCpRjuUZjj`@	r3	mol	reproductive	high
dmTBpHin@JspDJrQIRGJjZj@@	r3	mol	reproductive	high
dmTFPHSFFPBNBLddNRdVje`@	r3	mol	reproductive	high
dmTH@@RUUUjjj`@	r3	mol	reproductive	high
dmTJ@@IaUIf[~jjj@@	r3	mol	reproductive	high
dmTL@@xTiUUZjjh@@	r3	mol	reproductive	high
dmTLPDp`|HdLddJTTfjj`@	r3	mol	reproductive	high
dmTl@HQeBiRVY~Zfi`@	r3	mol	reproductive	high
dmU@HLT@a@c`bPaIggYjjf@@	r3	mol	reproductive	high
dmU@pLD@a@c`cHheEKFjfh@@	r3	mol	reproductive	high
dmUD@DXARYW[ZffP@	r3	mol	reproductive	high
dmUH@JXDiUYjjjh@@	r3	mol	reproductive	high
dmULAFDDIiGdf{evfYh@@	r3	mol	reproductive	high
dmUL`DzIT@cIICeMEjjX@@	r3	mol	reproductive	high
dmVB`NiiT@cIDeEKJijX@@	r3	mol	reproductive	high
dmVH@DAIYUUjjj@@	r3	mol	reproductive	high
